brand,name,price,url,primaryImage,secondaryImage
DOLCE&amp;GABBANA,Pleated printed cotton-poplin midi dress,"$2,948",https://www.net-a-porter.com/en-kr/shop/product/dolcegabbana/clothing/midi-dresses/pleated-printed-cotton-poplin-midi-dress/1647597306706021,https://www.net-a-porter.com/variants/images/1647597306706021/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597306706021/ou/w358_a3-4_q60.jpg
VALENTINO GARAVANI,Pussy-bow printed silk shirt,"$2,948",https://www.net-a-porter.com/en-kr/shop/product/valentino-garavani/clothing/blouses/pussy-bow-printed-silk-shirt/1647597310877384,https://www.net-a-porter.com/variants/images/1647597310877384/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597310877384/ou/w358_a3-4_q60.jpg
PATBO,Crepe-trimmed beaded tulle jacket,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/patbo/clothing/smart/crepe-trimmed-beaded-tulle-jacket/1647597326864868,https://www.net-a-porter.com/variants/images/1647597326864868/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597326864868/ou/w358_a3-4_q60.jpg
STELLA MCCARTNEY,Chain-embellished satin gown,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/stella-mccartney/clothing/gowns/chain-embellished-satin-gown/1647597337089753,https://www.net-a-porter.com/variants/images/1647597337089753/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337089753/ou/w358_a3-4_q60.jpg
ETRO,Floral-print cotton coat,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/long/floral-print-cotton-coat/1647597338668580,https://www.net-a-porter.com/variants/images/1647597338668580/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338668580/ou/w358_a3-4_q60.jpg
ALAÏA,Hooded cutout knitted midi dress,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/alaia/clothing/midi-dresses/hooded-cutout-knitted-midi-dress/1647597336321694,https://www.net-a-porter.com/variants/images/1647597336321694/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597336321694/ou/w358_a3-4_q60.jpg
STELLA MCCARTNEY,Chain-embellished satin gown,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/stella-mccartney/clothing/gowns/chain-embellished-satin-gown/1647597337089786,https://www.net-a-porter.com/variants/images/1647597337089786/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597337089786/ou/w358_a3-4_q60.jpg
ETRO,Printed silk-crepe maxi dress,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/maxi-dresses/printed-silk-crepe-maxi-dress/1647597338477831,https://www.net-a-porter.com/variants/images/1647597338477831/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338477831/ou/w358_a3-4_q60.jpg
ETRO,Tiered gathered floral-print silk-crepon maxi skirt,"$2,950",https://www.net-a-porter.com/en-kr/shop/product/etro/clothing/midi/tiered-gathered-floral-print-silk-crepon-maxi-skirt/1647597338668597,https://www.net-a-porter.com/variants/images/1647597338668597/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597338668597/ou/w358_a3-4_q60.jpg
BRUNELLO CUCINELLI,Bead-embellished floral-print silk-charmeuse shirt,"$2,953",https://www.net-a-porter.com/en-kr/shop/product/brunello-cucinelli/clothing/shirts/bead-embellished-floral-print-silk-charmeuse-shirt/1647597332826534,https://www.net-a-porter.com/variants/images/1647597332826534/in/w358_a3-4_q60.jpg,https://www.net-a-porter.com/variants/images/1647597332826534/ou/w358_a3-4_q60.jpg
